                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.60918,                0.81777,                0.41459,                0.93542,                0.82127,                0.77039,                0.76865,                0.54607,                0.77875,                0.73831,                0.73249,                0.46709,                0.61723,                0.88763,                0.40796,                0.86797,              0.0083962,              0.0083962,              0.0083962
                     83,                0.61242,                0.83069,                0.42597,                0.93422,                0.83153,                0.72972,                 0.7576,                0.54593,                0.78109,                0.69429,                0.71083,                 0.4467,                0.64118,                0.88113,                0.42077,                 0.8808,              0.0083764,              0.0083764,              0.0083764
                     84,                0.60704,                0.81368,                0.42512,                0.93787,                0.79064,                0.75121,                0.73606,                0.53749,                0.74101,                0.71019,                0.69046,                0.44518,                0.61358,                0.88802,                0.44867,                0.87148,              0.0083566,              0.0083566,              0.0083566
                     85,                0.61749,                0.83392,                0.43038,                0.93148,                0.85244,                0.71222,                0.76134,                0.54684,                0.79814,                0.67516,                 0.6969,                0.45105,                0.62748,                0.91331,                0.42545,                0.87149,              0.0083368,              0.0083368,              0.0083368
                     86,                0.61144,                0.81943,                0.42394,                0.93148,                0.81618,                0.74244,                0.74465,                 0.5326,                0.77499,                0.68564,                0.68797,                0.44095,                0.64601,                0.88065,                0.41852,                0.88321,               0.008317,               0.008317,               0.008317
                     87,                0.61804,                0.83495,                 0.4207,                 0.9402,                 0.7975,                0.77005,                0.75958,                0.53085,                0.81687,                0.70602,                0.71115,                 0.4456,                0.64443,                0.88907,                 0.4033,                0.88032,              0.0082972,              0.0082972,              0.0082972
                     88,                0.61105,                0.84216,                 0.4278,                0.92929,                0.79077,                0.74573,                0.74512,                0.52427,                0.73264,                0.69677,                0.67807,                0.42688,                0.66186,                0.90713,                0.43379,                0.87433,              0.0082774,              0.0082774,              0.0082774
                     89,                0.60403,                 0.8439,                0.41856,                0.93387,                 0.7983,                0.71324,                 0.7521,                0.53381,                0.73487,                0.65476,                0.67933,                0.43347,                0.64055,                0.91802,                0.44263,                0.88006,              0.0082576,              0.0082576,              0.0082576
                     90,                0.60502,                0.82755,                0.41517,                0.93483,                0.80824,                0.74835,                0.75167,                0.54008,                0.77924,                0.71333,                0.70473,                0.44735,                0.62887,                0.89887,                0.42631,                0.87593,              0.0082378,              0.0082378,              0.0082378
                     91,                0.60993,                0.80925,                0.41956,                0.93707,                0.80918,                0.73007,                0.73155,                0.53078,                0.78395,                0.68485,                0.69742,                0.44739,                0.64003,                0.90348,                0.43948,                0.87551,               0.008218,               0.008218,               0.008218
